Категория,Подкатегория,"Наименование (марка, ширина, размеры, полка, диаметр)","Хар-ка (размер, диаметр, толщина, стенка, ширина, длина, полка)",Единица измерения,Цена
Качественные стали,СТАЛЬ СОРТ КОНСТР КРУГ,Ст45,190 | 200| 210| 220,т,76190
Качественные стали,СТАЛЬ СОРТ КОНСТР КРУГ,Ст45,230 | 240| 250,т,110734
Качественные стали,СТАЛЬ СОРТ КОНСТР КРУГ,Ст45,260 | 270| 280| 290| 300,т,116830
Качественные стали,СТАЛЬ СОРТ КОНСТР КРУГ,Ст65Г,10 | 12| 14| 16| 20| 30,т,88382
Качественные стали,СТАЛЬ СОРТ КОНСТР КРУГ,Ст65Г,40 | 50| 60| 70| 80| 90| 100| 110| 120,т,78222
Качественные стали,СТАЛЬ СОРТ КОНСТР КРУГ,Ст65Г,140 | 150| 160| 170| 180| 190| 200| 210| 220,т,84318
Качественные стали,СТАЛЬ СОРТ КОНСТР КРУГ,Ст65Г,230 | 240| 250,т,118862
Качественные стали,СТАЛЬ СОРТ КОНСТР КРУГ,Ст65Г,260 | 280| 300,т,124958
Сортовой прокат,КАТАНКА,,5.5 | 6.5| 8,т,0
Сортовой прокат,КАТАНКА,мотки,5.5 | 6| 6.5| 8| 10| 12,т,0
Нержавейка,ДЕТАЛИ ТРУБОПРОВОДОВ - ОТВОД,12Х18Н10Т 90° 102Х4 импорт,102.0,шт,3048
Нержавейка,ДЕТАЛИ ТРУБОПРОВОДОВ - ОТВОД,12Х18Н10Т 90° 102Х7 импорт,102.0,шт,3556
Нержавейка,ДЕТАЛИ ТРУБОПРОВОДОВ - ОТВОД,12Х18Н10Т 90° 108Х4.5,108.0,шт,3519
Нержавейка,ДЕТАЛИ ТРУБОПРОВОДОВ - ОТВОД,12Х18Н10Т 90° 108Х4.5 импорт,108.0,шт,2946
Нержавейка,ДЕТАЛИ ТРУБОПРОВОДОВ - ОТВОД,12Х18Н10Т 90° 108Х5,108.0,шт,4127
Нержавейка,ДЕТАЛИ ТРУБОПРОВОДОВ - ОТВОД,12Х18Н10Т 90° 108Х5 импорт,108.0,шт,3219
Нержавейка,ДЕТАЛИ ТРУБОПРОВОДОВ - ОТВОД,12Х18Н10Т 90° 108Х6 импорт,108.0,шт,3792
Нержавейка,ДЕТАЛИ ТРУБОПРОВОДОВ - ОТВОД,12Х18Н10Т 90° 108Х8 импорт,108.0,шт,4775
Нержавейка,ДЕТАЛИ ТРУБОПРОВОДОВ - ОТВОД,12Х18Н10Т 90° 133Х4 импорт,133.0,шт,4267
Нержавейка,ДЕТАЛИ ТРУБОПРОВОДОВ - ОТВОД,12Х18Н10Т 90° 133Х5 импорт,133.0,шт,5440
Нержавейка,ДЕТАЛИ ТРУБОПРОВОДОВ - ОТВОД,12Х18Н10Т 90° 159Х4.5 импорт,159.0,шт,7315
Нержавейка,ДЕТАЛИ ТРУБОПРОВОДОВ - ОТВОД,12Х18Н10Т 90° 159Х5 импорт,159.0,шт,7455
Нержавейка,ДЕТАЛИ ТРУБОПРОВОДОВ - ОТВОД,12Х18Н10Т 90° 159Х6 импорт,159.0,шт,9037
Нержавейка,ДЕТАЛИ ТРУБОПРОВОДОВ - ОТВОД,12Х18Н10Т 90° 168Х6 импорт,168.0,шт,10029
Нержавейка,ДЕТАЛИ ТРУБОПРОВОДОВ - ОТВОД,12Х18Н10Т 90° 219Х10 импорт,219.0,шт,23063
Нержавейка,ДЕТАЛИ ТРУБОПРОВОДОВ - ОТВОД,12Х18Н10Т 90° 219Х6 импорт,219.0,шт,14681
Нержавейка,ДЕТАЛИ ТРУБОПРОВОДОВ - ОТВОД,12Х18Н10Т 90° 219Х8 импорт,219.0,шт,18390
Нержавейка,ДЕТАЛИ ТРУБОПРОВОДОВ - ОТВОД,12Х18Н10Т 90° 25Х2.5 импорт,25.0,шт,224
Нержавейка,ДЕТАЛИ ТРУБОПРОВОДОВ - ОТВОД,12Х18Н10Т 90° 26.9Х3.2 импорт,26.9,шт,305
Нержавейка,ДЕТАЛИ ТРУБОПРОВОДОВ - ОТВОД,12Х18Н10Т 90° 32Х3 импорт,32.0,шт,262
Нержавейка,ДЕТАЛИ ТРУБОПРОВОДОВ - ОТВОД,12Х18Н10Т 90° 38Х3 импорт,38.0,шт,338
Нержавейка,ДЕТАЛИ ТРУБОПРОВОДОВ - ОТВОД,12Х18Н10Т 90° 45Х3 импорт,45.0,шт,381
Нержавейка,ДЕТАЛИ ТРУБОПРОВОДОВ - ОТВОД,12Х18Н10Т 90° 57Х3 импорт,57.0,шт,526
Нержавейка,ДЕТАЛИ ТРУБОПРОВОДОВ - ОТВОД,12Х18Н10Т 90° 57Х3.5 импорт,57.0,шт,681
Нержавейка,ДЕТАЛИ ТРУБОПРОВОДОВ - ОТВОД,12Х18Н10Т 90° 57Х4 импорт,57.0,шт,671
Нержавейка,ДЕТАЛИ ТРУБОПРОВОДОВ - ОТВОД,12Х18Н10Т 90° 57Х4.5,57.0,шт,1031
